episode,step,episodic reward,success rate,episodic length
12,1890,1.9610468184940546,0.25,145
12,1895,1.9610468184940546,0.25,150
12,1900,1.9610468184940546,0.25,155
12,1905,1.9610468184940546,0.25,160
12,1910,1.9610468184940546,0.25,165
12,1915,1.9610468184940546,0.25,170
12,1920,1.9610468184940546,0.25,175
12,1925,1.9610468184940546,0.25,180
12,1930,1.9610468184940546,0.25,185
12,1935,1.9610468184940546,0.25,190
12,1940,1.9610468184940546,0.25,195
13,1945,1.9377374502260294,0.3,4
13,1950,1.9377374502260294,0.3,9
13,1955,1.9377374502260294,0.3,14
13,1960,1.9377374502260294,0.3,19
13,1965,1.9377374502260294,0.3,24
13,1970,1.9377374502260294,0.3,29
13,1975,1.9377374502260294,0.3,34
13,1980,1.9377374502260294,0.3,39
13,1985,1.9377374502260294,0.3,44
13,1990,1.9377374502260294,0.3,49
13,1995,1.9377374502260294,0.3,54
13,2000,1.9377374502260294,0.3,59
13,2005,1.9377374502260294,0.3,64
13,2010,1.9377374502260294,0.3,69
13,2015,1.9377374502260294,0.3,74
13,2020,1.9377374502260294,0.3,79
13,2025,1.9377374502260294,0.3,84
13,2030,1.9377374502260294,0.3,89
13,2035,1.9377374502260294,0.3,94
13,2040,1.9377374502260294,0.3,99
13,2045,1.9377374502260294,0.3,104
13,2050,1.9377374502260294,0.3,109
13,2055,1.9377374502260294,0.3,114
13,2060,1.9377374502260294,0.3,119
13,2065,1.9377374502260294,0.3,124
13,2070,1.9377374502260294,0.3,129
13,2075,1.9377374502260294,0.3,134
13,2080,1.9377374502260294,0.3,139
13,2085,1.9377374502260294,0.3,144
13,2090,1.9377374502260294,0.3,149
13,2095,1.9377374502260294,0.3,154
13,2100,1.9377374502260294,0.3,159
13,2105,1.9377374502260294,0.3,164
13,2110,1.9377374502260294,0.3,169
13,2115,1.9377374502260294,0.3,174
13,2120,1.9377374502260294,0.3,179
13,2125,1.9377374502260294,0.3,184
14,2130,1.9585056928019728,0.35,4
14,2135,1.9585056928019728,0.35,9
14,2140,1.9585056928019728,0.35,14
14,2145,1.9585056928019728,0.35,19
14,2150,1.9585056928019728,0.35,24
14,2155,1.9585056928019728,0.35,29
14,2160,1.9585056928019728,0.35,34
14,2165,1.9585056928019728,0.35,39
14,2170,1.9585056928019728,0.35,44
14,2175,1.9585056928019728,0.35,49
14,2180,1.9585056928019728,0.35,54
14,2185,1.9585056928019728,0.35,59
14,2190,1.9585056928019728,0.35,64
14,2195,1.9585056928019728,0.35,69
14,2200,1.9585056928019728,0.35,74
14,2205,1.9585056928019728,0.35,79
14,2210,1.9585056928019728,0.35,84
14,2215,1.9585056928019728,0.35,89
14,2220,1.9585056928019728,0.35,94
14,2225,1.9585056928019728,0.35,99
14,2230,1.9585056928019728,0.35,104
14,2235,1.9585056928019728,0.35,109
14,2240,1.9585056928019728,0.35,114
14,2245,1.9585056928019728,0.35,119
14,2250,1.9585056928019728,0.35,124
14,2255,1.9585056928019728,0.35,129
14,2260,1.9585056928019728,0.35,134
14,2265,1.9585056928019728,0.35,139
14,2270,1.9585056928019728,0.35,144
14,2275,1.9585056928019728,0.35,149
14,2280,1.9585056928019728,0.35,154
14,2285,1.9585056928019728,0.35,159
14,2290,1.9585056928019728,0.35,164
14,2295,1.9585056928019728,0.35,169
14,2300,1.9585056928019728,0.35,174
14,2305,1.9585056928019728,0.35,179
14,2310,1.9585056928019728,0.35,184
15,2315,1.9636824022190464,0.4,1
15,2320,1.9636824022190464,0.4,6
15,2325,1.9636824022190464,0.4,11
15,2330,1.9636824022190464,0.4,16
15,2335,1.9636824022190464,0.4,21
15,2340,1.9636824022190464,0.4,26
15,2345,1.9636824022190464,0.4,31
15,2350,1.9636824022190464,0.4,36
15,2355,1.9636824022190464,0.4,41
15,2360,1.9636824022190464,0.4,46
15,2365,1.9636824022190464,0.4,51
15,2370,1.9636824022190464,0.4,56
15,2375,1.9636824022190464,0.4,61
15,2380,1.9636824022190464,0.4,66
15,2385,1.9636824022190464,0.4,71
15,2390,1.9636824022190464,0.4,76
15,2395,1.9636824022190464,0.4,81
15,2400,1.9636824022190464,0.4,86
15,2405,1.9636824022190464,0.4,91
15,2410,1.9636824022190464,0.4,96
15,2415,1.9636824022190464,0.4,101
15,2420,1.9636824022190464,0.4,106
15,2425,1.9636824022190464,0.4,111
15,2430,1.9636824022190464,0.4,116
15,2435,1.9636824022190464,0.4,121
15,2440,1.9636824022190464,0.4,126
15,2445,1.9636824022190464,0.4,131
15,2450,1.9636824022190464,0.4,136
15,2455,1.9636824022190464,0.4,141
15,2460,1.9636824022190464,0.4,146
15,2465,1.9636824022190464,0.4,151
15,2470,1.9636824022190464,0.4,156
15,2475,1.9636824022190464,0.4,161
15,2480,1.9636824022190464,0.4,166
15,2485,1.9636824022190464,0.4,171
15,2490,1.9636824022190464,0.4,176
15,2495,1.9636824022190464,0.4,181
15,2500,1.9636824022190464,0.4,186
